Taxon,TaxonGroup,Abundance,GridRef
Pieris napi,insect - butterfly,1,SD64741252
Lycaena phlaeas,insect - butterfly,1,SD64851280
Pieris napi,insect - butterfly,1,SD66031049
Pararge aegeria,insect - butterfly,2,SD66051046
Polygonia c-album,insect - butterfly,1,SD66051046
Celastrina argiolus,insect - butterfly,1,SD66051046
Pieris napi,insect - butterfly,1,SD66071047
Inachis io,insect - butterfly,2,SD66061044
Pieris napi,insect - butterfly,1,SD66561051
Lycaena phlaeas,insect - butterfly,1,SD66511055
Pieris napi,insect - butterfly,3,SD66511055
Aglais urticae,insect - butterfly,1,SD66511055
Anthocharis cardamines,insect - butterfly,1,SD66511056
Lycaena phlaeas,insect - butterfly,1,SD66541054
Anthocharis cardamines,insect - butterfly,3,SD66541055
Aglais urticae,insect - butterfly,2,SD66441070
Aglais urticae,insect - butterfly,1,SD66431072
Anthocharis cardamines,insect - butterfly,1,SD65211109
Pieris napi,insect - butterfly,1,SD65081099
Pararge aegeria,insect - butterfly,1,SD64871075
Pieris napi,insect - butterfly,1,SD64871075
Pieris napi,insect - butterfly,1,SD64801072
Lycaena phlaeas,insect - butterfly,2,SD64831072
Inachis io,insect - butterfly,1,SD64831072
Pararge aegeria,insect - butterfly,3,SD64851075
Anthocharis cardamines,insect - butterfly,1,SD64921081
Anthocharis cardamines,insect - butterfly,1,SD65131103
Pararge aegeria,insect - butterfly,1,SJ41739034
Pararge aegeria,insect - butterfly,1,SJ41699015
Pieris napi,insect - butterfly,1,SJ41779041
Pararge aegeria,insect - butterfly,2,SJ41779040
Pieris napi,insect - butterfly,1,SJ41799035
Pieris napi,insect - butterfly,1,SJ41979009
Pieris napi,insect - butterfly,1,SD66501055
Pieris napi,insect - butterfly,2,SJ41778996
Pararge aegeria,insect - butterfly,2,SJ41769039
Pieris napi,insect - butterfly,1,SJ41779038
Polyommatus icarus,insect - butterfly,1,SJ41909022
Pieris napi,insect - butterfly,1,SJ60529250
Vanessa atalanta,insect - butterfly,1,SJ41799009
Pieris rapae,insect - butterfly,1,SD65911124
Pararge aegeria,insect - butterfly,1,SD61311227
Pieris rapae,insect - butterfly,1,SD66921028
Pieris brassicae,insect - butterfly,1,SD66171110
Pararge aegeria,insect - butterfly,2,SP18656253
Pararge aegeria,insect - butterfly,1,SP18616247
Pieris rapae,insect - butterfly,1,SP18656236
Ochlodes sylvanus,insect - butterfly,1,SP18766230
Ochlodes sylvanus,insect - butterfly,1,SP18936240
Pararge aegeria,insect - butterfly,1,SP21254636
Polyommatus icarus,insect - butterfly,1,SD30160933
Pararge aegeria,insect - butterfly,1,SD65311134
Maniola jurtina,insect - butterfly,1,SD45311070
Pararge aegeria,insect - butterfly,2,SD45191061
Ochlodes sylvanus,insect - butterfly,1,SD45281058
Pararge aegeria,insect - butterfly,1,SD45311070
Pararge aegeria,insect - butterfly,1,SD66531041
Aglais urticae,insect - butterfly,1,SJ41789008
Pararge aegeria,insect - butterfly,1,SD64681259
Lycaena phlaeas,insect - butterfly,1,SD64941288
Aglais urticae,insect - butterfly,1,SD64501220
Pieris brassicae,insect - butterfly,1,SD64471212
Aglais urticae,insect - butterfly,1,SD65361125
Pararge aegeria,insect - butterfly,1,SD65321127
Pieris brassicae,insect - butterfly,1,SJ41799008
Aglais urticae,insect - butterfly,1,SD65331127
Pararge aegeria,insect - butterfly,1,SD65541141
Aglais urticae,insect - butterfly,1,SD38950000
Vanessa atalanta,insect - butterfly,1,SJ389999
Aglais urticae,insect - butterfly,2,SJ38899967
Maniola jurtina,insect - butterfly,2,SD65511185
Inachis io,insect - butterfly,1,SJ41289022
Coenonympha pamphilus,insect - butterfly,1,SD64651516
Aglais urticae,insect - butterfly,1,SD65521184
Aglais urticae,insect - butterfly,1,SD65531187
Pararge aegeria,insect - butterfly,1,SD65431199
Aglais urticae,insect - butterfly,1,SD65341201
Pararge aegeria,insect - butterfly,1,SD65281205
Maniola jurtina,insect - butterfly,1,SD65241202
Maniola jurtina,insect - butterfly,1,SD65151204
Maniola jurtina,insect - butterfly,1,SD65131208
Maniola jurtina,insect - butterfly,1,SD65121213
Vanessa atalanta,insect - butterfly,1,SD65231212
Maniola jurtina,insect - butterfly,1,SD65451205
Aglais urticae,insect - butterfly,1,SD65481204
Aglais urticae,insect - butterfly,1,SD66041199
Ochlodes sylvanus,insect - butterfly,1,SD66041201
Coenonympha pamphilus,insect - butterfly,1,SD66081207
Coenonympha pamphilus,insect - butterfly,1,SD66081209
Coenonympha pamphilus,insect - butterfly,1,SD66121212
Coenonympha pamphilus,insect - butterfly,2,SD66151218
Coenonympha pamphilus,insect - butterfly,2,SD66161220
Coenonympha pamphilus,insect - butterfly,1,SD66231234
Ochlodes sylvanus,insect - butterfly,1,SD66251239
Coenonympha pamphilus,insect - butterfly,1,SD66261243
Coenonympha pamphilus,insect - butterfly,1,SD66281253
Pieris brassicae,insect - butterfly,1,SD66341263
Aglais urticae,insect - butterfly,1,SD66501258
Coenonympha pamphilus,insect - butterfly,1,SD66611255
Coenonympha pamphilus,insect - butterfly,2,SD66631254
Coenonympha pamphilus,insect - butterfly,1,SD66691255
Aglais urticae,insect - butterfly,1,SD66831272
Pararge aegeria,insect - butterfly,1,SD66951250
Aglais urticae,insect - butterfly,1,SD67331239
Pieris brassicae,insect - butterfly,1,SD67161225
Aglais urticae,insect - butterfly,3,SD67141225
Vanessa atalanta,insect - butterfly,1,SD67071224
Aglais urticae,insect - butterfly,1,SD66931213
Aglais urticae,insect - butterfly,1,SD66571192
Maniola jurtina,insect - butterfly,1,SD66051157
Maniola jurtina,insect - butterfly,1,SD66051155
Maniola jurtina,insect - butterfly,1,SD65521184
Coenonympha pamphilus,insect - butterfly,1,SD66111159
Ochlodes sylvanus,insect - butterfly,1,SD64701384
Vanessa atalanta,insect - butterfly,1,SD64661347
Maniola jurtina,insect - butterfly,1,SD64721286
Aglais urticae,insect - butterfly,1,SD64411270
Pararge aegeria,insect - butterfly,2,SD63921283
Polygonia c-album,insect - butterfly,1,SD65701086
Pararge aegeria,insect - butterfly,1,SD65691080
Maniola jurtina,insect - butterfly,1,SD65701076
Maniola jurtina,insect - butterfly,1,SD65751074
Maniola jurtina,insect - butterfly,1,SD65801073
Maniola jurtina,insect - butterfly,1,SD66031055
Maniola jurtina,insect - butterfly,1,SD66031052
Polygonia c-album,insect - butterfly,1,SD66051046
Pararge aegeria,insect - butterfly,1,SD66041045
Inachis io,insect - butterfly,1,SD66051044
Aglais urticae,insect - butterfly,1,SD66211016
Aglais urticae,insect - butterfly,1,SD66851007
Maniola jurtina,insect - butterfly,1,SD66901012
Maniola jurtina,insect - butterfly,3,SD66871029
Maniola jurtina,insect - butterfly,1,SD66861030
Aglais urticae,insect - butterfly,1,SD66541040
Maniola jurtina,insect - butterfly,1,SD66541045
Pararge aegeria,insect - butterfly,1,SD66541055
Maniola jurtina,insect - butterfly,2,SD66521055
Ochlodes sylvanus,insect - butterfly,4,SD66511055
Maniola jurtina,insect - butterfly,1,SD66561056
Maniola jurtina,insect - butterfly,4,SD66531063
Maniola jurtina,insect - butterfly,1,SD66531063
Maniola jurtina,insect - butterfly,3,SD66471067
Maniola jurtina,insect - butterfly,1,SD66421073
Maniola jurtina,insect - butterfly,1,SD66311056
Maniola jurtina,insect - butterfly,1,SD66301056
Maniola jurtina,insect - butterfly,1,SD66231046
Maniola jurtina,insect - butterfly,1,SD66191060
Pararge aegeria,insect - butterfly,1,SD66241084
Maniola jurtina,insect - butterfly,1,SD66151093
Lycaena phlaeas,insect - butterfly,1,SD66171108
Hipparchia semele,insect - butterfly,1,SD45707758
Boloria selene,insect - butterfly,P,SD45707757
Hipparchia semele,insect - butterfly,abundant,SD45637730
Pieris napi,insect - butterfly,1,SD45147699
Maniola jurtina,insect - butterfly,1,SD45687721
Vanessa atalanta,insect - butterfly,1,SD45887734
Pararge aegeria,insect - butterfly,1,SD46107674
Aphantopus hyperantus,insect - butterfly,1,SD47387490
Pieris napi,insect - butterfly,1,SD30131364
Maniola jurtina,insect - butterfly,1,SD66051046
Argynnis adippe,insect - butterfly,,SD45707757
Vanessa atalanta,insect - butterfly,1,SD65911124
Maniola jurtina,insect - butterfly,1,SD65911125
Aglais urticae,insect - butterfly,1,SD65901124
Aglais urticae,insect - butterfly,1,SD65911125
Aglais urticae,insect - butterfly,1,SD65341127
Lycaena phlaeas,insect - butterfly,1,SJ41799010
Aglais urticae,insect - butterfly,2,SD65311133
Vanessa atalanta,insect - butterfly,1,SD65531139
Vanessa atalanta,insect - butterfly,2,SD65491139
Aglais urticae,insect - butterfly,1,SD65361125
Pieris brassicae,insect - butterfly,1,SX10568320
Aphantopus hyperantus,insect - butterfly,1,SX10558313
Aphantopus hyperantus,insect - butterfly,1,SX10578302
Maniola jurtina,insect - butterfly,1,SX10538291
Aphantopus hyperantus,insect - butterfly,1,SX10338293
Vanessa atalanta,insect - butterfly,1,SX10408321
Pieris napi,insect - butterfly,1,SX05408648
Maniola jurtina,insect - butterfly,1,SX05418649
Lycaena phlaeas,insect - butterfly,1,SX05418649
Thymelicus sylvestris,insect - butterfly,1,SX05438649
Aphantopus hyperantus,insect - butterfly,1,SX05438649
Polygonia c-album,insect - butterfly,,SX10089086
Polyommatus icarus,insect - butterfly,P,SX05418649
Pieris napi,insect - butterfly,1,SX10648338
Pararge aegeria,insect - butterfly,1,SX10548292
Pieris napi,insect - butterfly,1,SX10428280
Pieris napi,insect - butterfly,1,SX10428280
Pieris napi,insect - butterfly,1,SX10428279
Pieris napi,insect - butterfly,1,SX10498288
Lycaena phlaeas,insect - butterfly,1,SX10558299
Pararge aegeria,insect - butterfly,1,SX10578304
Pararge aegeria,insect - butterfly,1,SX10658345
Aphantopus hyperantus,insect - butterfly,1,SX10568318
Pieris napi,insect - butterfly,3,SX10558313
Maniola jurtina,insect - butterfly,1,SX10558312
Vanessa atalanta,insect - butterfly,1,SX10568307
Pieris napi,insect - butterfly,3,SX10568305
Lycaena phlaeas,insect - butterfly,1,SX10568304
Lycaena phlaeas,insect - butterfly,1,SX10568303
Lycaena phlaeas,insect - butterfly,1,SX10568303
Lycaena phlaeas,insect - butterfly,2,SX10568302
Pieris napi,insect - butterfly,1,SX10558302
Maniola jurtina,insect - butterfly,1,SX10558302
Lycaena phlaeas,insect - butterfly,1,SX10558301
Maniola jurtina,insect - butterfly,1,SX10558300
Pieris napi,insect - butterfly,1,SX10528289
Vanessa atalanta,insect - butterfly,3,SX10518288
Inachis io,insect - butterfly,1,SX10508288
Pararge aegeria,insect - butterfly,1,SX10498287
Maniola jurtina,insect - butterfly,1,SX10448282
Maniola jurtina,insect - butterfly,1,SX10428280
Pararge aegeria,insect - butterfly,1,SX10418280
Pieris napi,insect - butterfly,2,SX10408276
Pieris brassicae,insect - butterfly,1,SX10428281
